"Mo","Nb","Ta","V","W","alloy_cnt","m_log_max_strain","m_bc_1","m_bc_2","m_bc_3","m_bc_4","var_log_max_strain","var_bc_1","var_bc_2","var_bc_3","var_bc_4"
0.9,0.1,0,0,0,3,-1.29581217680169,0.875707769830967,0.875519046327992,0.398468029469323,0.238609241677176,0.000413809343656176,0.000534191402936812,0.000437093447792579,0.00108817352526162,0.00143820575819197
0.9,0,0.1,0,0,4,-1.26080662956794,0.701550077777125,0.825895593270241,0.492423193597345,0.0760617128244978,0.00194156697395839,0.00259644745410187,0.00186808488888931,0.00659310548698774,0.00505164356998423
0.9,0,0,0.1,0,5,-1.20854871646768,0.841316570834324,0.882584336459402,0.545204465125882,0.299597529082665,0.000396313903989705,0.000575356210940074,0.000379069521704102,0.000941043295794128,0.000285457753366961
0.9,0,0,0,0.1,6,-1.31958807764939,1.31662157828956,1.37627777742258,0.29900469992455,0.180473936497126,0.00264389750656451,0.00449067427339746,0.00299234515885038,0.00957121883791164,0.00195982297702652
0.7,0.3,0,0,0,13,-1.04517084767978,0.0960103119777976,0.203139989685814,0.162385242075456,-0.633041250030033,0.00230649777858434,0.00226932568377082,0.00117226781608306,0.0142183126725632,0.00617113469628242
0.7,0,0.3,0,0,14,-0.887880063217058,0.0639972557852775,0.0242015461894042,0.0795538770605295,-0.498814911231927,0.000759805554987148,0.000690628827420234,0.000451139259667696,0.00364545545571746,0.00386430742289958
0.7,0,0,0.3,0,15,-0.571138090089337,0.420241515789324,0.485228991618873,0.239114736857942,0.0390078724342069,0.00116470508883049,0.00128488435619513,0.000732507665151083,0.00548189899548668,0.00188316321067507
0.7,0,0,0,0.3,16,-1.39102208254757,1.23841717572186,1.35908407998225,0.293384824670241,0.0364192097103129,0.000436376979943765,0.00071200604006513,0.000413243678580879,0.00283737301590587,0.0011556634140273
0.5,0.5,0,0,0,31,-0.706105445153912,-0.462912610486062,-0.349018423316032,-0.22278098544108,-0.721840996913387,0.00192416528397444,0.00143359546810359,0.000534205993940658,0.0128846322145551,0.00296675711140272
0.5,0,0.5,0,0,32,-0.265631408403875,-0.398071609243321,-0.468727797108221,-0.48380258626405,-1.67125497417026,0.0237858221136882,0.014465717378355,0.00313477713007473,0.311639624868982,0.319113998946298
0.5,0,0,0.5,0,33,-0.0813429715757112,0.00842974737144323,0.0848328933918904,0.393851619017985,0.311587465939852,0.00220621181162708,0.00212197098226068,0.00123708079360855,0.00784693909574708,0.00500241774579615
0.5,0,0,0,0.5,34,-1.37896144436726,1.30334336786775,1.43308416588882,0.121864410714484,-0.0371673641235695,1.63341045996997e-27,4.60762875338985e-06,1.89935015895319e-06,0.000385676817197384,0.000450808689330442
0.3,0.7,0,0,0,49,-0.209838016801693,-0.591127531113274,-0.755592602397995,-0.912947458629569,-0.771414172470596,0.00550204040554476,0.00307777580512603,0.000737481936945012,0.045068146305714,0.0168641595396587
0.3,0,0.7,0,0,50,1.28297130130128,-0.00440029507136987,-0.433036558527913,-4.18598637813481,-2.52273770268301,0.00140812448599838,0.000602677778871223,2.86392246573318e-06,0.0212660866833185,0.00629180759486042
0.3,0,0,0.7,0,51,0.208000431365331,-0.364316096678813,-0.327134431488048,0.560598830941142,1.09924115227214,0.00571339140386701,0.00484966851442433,0.00301651258383795,0.00991846219993593,0.00148185826966005
0.3,0,0,0,0.7,52,-1.3610713803384,1.48730053591901,1.5533091157481,0.0193156075278202,0.0373796213985125,0.000968787416754064,0.00168398013149289,0.00099177710010923,0.00614461997070536,0.00376701855962059
0.1,0.9,0,0,0,64,0.244656308556807,-0.650689038271879,-0.793112383547547,-0.541597016268797,0.489313267667637,0.00130528701410595,0.000724919767790955,0.000211140458272409,0.00668836984756053,0.00140195151175577
0.1,0,0.9,0,0,65,1.43231703094877,0.299787819104607,0.237347958211905,-0.606358637221308,-1.12372180363518,0.000430565065869262,0.000431432404580936,0.00018543629863535,0.00265131429579558,0.000142446490192768
0.1,0,0,0.9,0,66,0.58697875877151,-0.378122678124431,-0.468870025359141,-0.0924529482649947,1.47209658347322,0.00127048137189323,0.000952090301095669,0.000561362250597822,0.00159117223078789,0.000991839903252503
0.1,0,0,0,0.9,67,-1.16864805218806,1.98376870708128,1.95793254511583,-0.326350106869198,0.0401635643487348,0.00263025672931673,0.00540554748853545,0.00343194321587482,0.0118249358844907,0.00300214439124412
