"Mo","Nb","Ta","V","W","alloy_cnt","m_log_max_strain","m_bc_1","m_bc_2","m_bc_3","m_bc_4","var_log_max_strain","var_bc_1","var_bc_2","var_bc_3","var_bc_4"
0.9,0.1,0,0,0,3,0.0609889677576209,1.05575373530208,0.934901142874084,-1.00273128536057,-0.154998342110668,-7.22205083651921,-8.27767150851504,-8.64026958074868,-8.69907280491618,-8.83498426548915
0.9,0,0.1,0,0,4,-0.0780724626856376,1.03214567130975,0.928140316918197,-0.848223768027044,-0.338125383529795,-6.49183468115133,-7.46277711367135,-7.80002389552115,-8.12955436278371,-7.78278586301749
0.9,0,0,0.1,0,5,0.297954473134277,1.17411743347874,1.06969320364223,-0.943175622523104,0.0134131314661312,-5.25285126678475,-6.19460662883716,-6.43942859248476,-7.32959694676707,-6.52688141086434
0.9,0,0,0,0.1,6,0.430205094770773,1.67938232515962,1.51679394953083,-1.19000656835585,0.459446267610277,-9.20501005745719,-9.92041493091822,-10.130778723944,-12.2487060455648,-8.54443666487669
0.7,0.3,0,0,0,13,-0.42998338129067,0.31616105185561,0.18060878401068,-0.604403184959669,-0.440039882417937,-5.55329493735382,-7.00155654911132,-7.26085261787225,-7.62572991358409,-8.16990252905101
0.7,0,0.3,0,0,14,-0.34219396974716,0.318786685873313,0.358627277602756,-0.241731953603999,-0.658461000455937,-4.13011759121401,-5.41168293222648,-5.51065882403897,-6.54482423676014,-8.20700413432478
0.7,0,0,0.3,0,15,0.316072191652487,0.63139284298934,0.557848752223557,-0.631201476840876,-0.341524055314914,-7.98003865763214,-9.07702195326501,-9.078332181762,-13.6393730752518,-7.54885863871837
0.7,0,0,0,0.3,16,0.116710803822065,1.61361414511648,1.48075960860237,-1.09885223452656,0.0552930766549487,-6.57282289006354,-7.2547355134221,-7.43662702632897,-9.67716885140079,-5.9732809018707
0.5,0.5,0,0,0,31,-0.604701695913555,-0.184049752974885,-0.358948081483839,-0.419070663674229,-0.428493082352378,-8.79160885276794,-10.5928262137978,-10.6604539283407,-11.4336618831087,-10.0763586507166
0.5,0,0.5,0,0,32,-0.110702061374272,-0.118822794773503,-0.0452067288342365,0.203489292992169,-0.457065604730804,-4.73599753754238,-6.18104573146048,-6.08341759058504,-8.99828466241773,-9.04127796263151
0.5,0,0,0.5,0,33,0.338698462039899,0.169936276820645,0.0831261480719866,-0.508561081672222,-0.477688162935516,-4.18051230847773,-5.66651806340385,-5.92886131986768,-6.64477662010231,-5.44719954307401
0.5,0,0,0,0.5,34,-0.0370495350921212,1.62591090236998,1.52349779949995,-1.01629226532231,-0.0860498613412664,-4.79230953741904,-5.4537718311881,-5.67871498009288,-7.05197284553221,-4.86986486880291
0.3,0.7,0,0,0,49,-0.531437734716454,-0.574723590391586,-0.731179618584584,-0.386669031465124,-0.471049251288271,-4.22087857631468,-6.43292681863812,-6.89876245817543,-6.63800009666835,-6.69531925049428
0.3,0,0.7,0,0,50,0.455610096474048,-0.385437565112185,-0.294256603944072,0.66825940388159,0.128720551730045,-4.7707200766293,-6.22209000956333,-5.81911416108192,-7.42006657739162,-6.7775210506358
0.3,0,0,0.7,0,51,0.130105624691275,-0.307082821229838,-0.437136640917574,-0.493534862691846,-0.538964563518023,-3.47048810849678,-5.35312598631861,-5.68003315388571,-6.17727029415667,-4.68898666497766
