"Mo","Nb","Ta","V","W","alloy_cnt","m_log_max_strain","m_bc_1","m_bc_2","m_bc_3","m_bc_4","var_log_max_strain","var_bc_1","var_bc_2","var_bc_3","var_bc_4"
0.9,0.1,0,0,0,3,-1.29581217680169,0.875707769830967,0.875519046327992,0.398468029469323,0.238609241677176,-7.79010521278167,-7.53475635075971,-7.73536354638677,-6.82325465313542,-6.54435894355478
0.9,0,0.1,0,0,4,-1.26080662956794,0.701550077777125,0.825895593270241,0.492423193597345,0.0760617128244978,-6.24425991340072,-5.95361113208789,-6.28284149647713,-5.02173079913251,-5.28804162924247
0.9,0,0,0.1,0,5,-1.20854871646768,0.841316570834324,0.882584336459402,0.545204465125882,0.299597529082665,-7.83330397387739,-7.46052121168907,-7.87779093512844,-6.96852140902913,-8.16141651401376
0.9,0,0,0,0.1,6,-1.31958807764939,1.31662157828956,1.37627777742258,0.29900469992455,0.180473936497126,-5.93550112228093,-5.40575241625382,-5.81169786494509,-4.64899472134356,-6.23490112766223
0.7,0.3,0,0,0,13,-1.04517084767978,0.0960103119777976,0.203139989685814,0.162385242075456,-0.633041250030033,-6.07202501807792,-6.08827254722615,-6.74881510191594,-4.25322452039838,-5.08787255257913
0.7,0,0.3,0,0,14,-0.887880063217058,0.0639972557852775,0.0242015461894042,0.0795538770605295,-0.498814911231927,-7.18244800611988,-7.27790803130756,-7.70373448637326,-5.61427396776996,-5.55597280500484
0.7,0,0,0.3,0,15,-0.571138090089337,0.420241515789324,0.485228991618873,0.239114736857942,0.0390078724342069,-6.75528736664525,-6.65708655986365,-7.21903675275772,-5.20630370602745,-6.27480235718696
0.7,0,0,0,0.3,16,-1.39102208254757,1.23841717572186,1.35908407998225,0.293384824670241,0.0364192097103129,-7.7370040552964,-7.24742416335074,-7.79147311822012,-5.86487664927968,-6.76308071546476
0.5,0.5,0,0,0,31,-0.706105445153912,-0.462912610486062,-0.349018423316032,-0.22278098544108,-0.721840996913387,-6.25326302399675,-6.54756967694867,-7.53472903694579,-4.35171997897513,-5.82028580438719
0.5,0,0.5,0,0,32,-0.265631408403875,-0.398071609243321,-0.468727797108221,-0.48380258626405,-1.67125497417026,-3.73866558531902,-4.23597374770463,-5.76519719830958,-1.16590780725213,-1.14220687656839
0.5,0,0,0.5,0,33,-0.0813429715757112,0.00842974737144323,0.0848328933918904,0.393851619017985,0.311587465939852,-6.11647834661,-6.15540991359606,-6.69500087355062,-4.84763174733664,-5.29783393426103
0.5,0,0,0,0.5,34,-1.37896144436726,1.30334336786775,1.43308416588882,0.121864410714484,-0.0371673641235695,-61.6791273751158,-12.2877972034869,-13.1739987518982,-7.860510800345,-7.70446750062852
0.3,0.7,0,0,0,49,-0.209838016801693,-0.591127531113274,-0.755592602397995,-0.912947458629569,-0.771414172470596,-5.20263627271451,-5.78354808405905,-7.21226896232819,-3.09957957235297,-4.08256464629918
0.3,0,0.7,0,0,50,1.28297130130128,-0.00440029507136987,-0.433036558527913,-4.18598637813481,-2.52273770268301,-6.56549661180339,-7.41412786745773,-12.7633183812529,-3.85064164961566,-5.0685068735829
0.3,0,0,0.7,0,51,0.208000431365331,-0.364316096678813,-0.327134431488048,0.560598830941142,1.09924115227214,-5.16494249049487,-5.32884492390992,-5.80365388842368,-4.61335738986997,-6.5144583911889
0.3,0,0,0,0.7,52,-1.3610713803384,1.48730053591901,1.5533091157481,0.0193156075278202,0.0373796213985125,-6.93946535429646,-6.3865951616325,-6.91601217339819,-5.09217838153718,-5.58147142338748
0.1,0.9,0,0,0,64,0.244656308556807,-0.650689038271879,-0.793112383547547,-0.541597016268797,0.489313267667637,-6.64133232820865,-7.22944957434936,-8.46298696693805,-5.00738510455521,-6.56989007602076
0.1,0,0.9,0,0,65,1.43231703094877,0.299787819104607,0.237347958211905,-0.606358637221308,-1.12372180363518,-7.75041210528645,-7.74839971189989,-8.59279913847632,-5.93269980125427,-8.85654413619531
0.1,0,0,0.9,0,66,0.58697875877151,-0.378122678124431,-0.468870025359141,-0.0924529482649947,1.47209658347322,-6.6683594173397,-6.95685067357918,-7.4851441378402,-6.44328428231894,-6.91594885155412
0.1,0,0,0,0.9,67,-1.16864805218806,1.98376870708128,1.95793254511583,-0.326350106869198,0.0401635643487348,-5.94067382184679,-5.22032954004472,-5.67462864298432,-4.43754476664923,-5.80842844857842
0,0.9,0.1,0,0,69,1.34465994694093,0.142464645740031,-0.15911302120094,-1.23704130016605,1.47760533418332,-8.28755686262511,-8.51225073299812,-9.43285406241189,-7.14334975322243,-7.34779703838422
0,0.9,0,0.1,0,70,0.546283543147713,-0.90912868296632,-0.992920295875689,0.04287237386563,0.757047153506628,-7.89225630715376,-8.56637510661243,-9.2063061284686,-6.98983292967038,-9.40818443252731
0,0.9,0,0,0.1,71,0.183948714228367,-0.606557481304678,-0.735873966688565,-0.342040177485424,0.638707340100321,-6.31750940882021,-6.8216882307062,-7.66641684189559,-5.04486385152198,-7.53358072318098
0,0.7,0.3,0,0,75,1.36573924190966,0.181706656534184,0.0579505287700379,-0.658993263130374,1.02994811913488,-5.68889468740899,-5.74711361970884,-6.42472048249528,-4.70227899857175,-6.93930255108914
0,0.7,0,0.3,0,76,0.355280357428843,-1.67491584967475,-1.58098550883706,1.02024729424685,0.701365766963008,-5.48258520049154,-6.31625776952592,-7.06941439409547,-5.08861524154804,-7.45555171330676
0,0.7,0,0,0.3,77,-0.147537820967986,-0.338368636013643,-0.570054806798074,-1.321003172141,-0.434272261745667,-4.98943047070113,-5.56447422072303,-6.94700530255026,-2.91971184540951,-4.68346530943264
0,0.5,0.5,0,0,81,1.52098182125272,0.392289589349274,0.392563633024656,-0.28489065321433,0.48434618514182,-6.67302971613029,-6.56691492616104,-7.11641714016145,-5.5997164939252,-9.20208983598485
0,0.5,0,0.5,0,82,0.296139427635318,-2.00817101020854,-1.88150345995935,1.31818647823454,1.02032542480675,-5.15613168807052,-6.20087625720652,-6.74265083415381,-5.33297034312923,-7.69734582447776
0,0.5,0,0,0.5,83,-0.706105445153898,-0.462144898263794,-0.349001454734953,-0.232634821692916,-0.760602201390673,-6.25326302399729,-6.6559833898618,-7.5975371846907,-4.30801028667707,-4.57553891497323
0,0.3,0.7,0,0,90,1.63639884876581,0.613428675063271,0.721558651545632,0.128741218761526,-0.206840991935696,-7.58533510116627,-7.31577902088679,-7.8854985163554,-6.06486640354982,-7.26897333582951
0,0.3,0,0.7,0,91,-0.0352626487396582,-2.01613013479597,-1.93055037152902,1.24251536977552,1.25099120475541,-3.88174954328047,-5.04795789759377,-5.5437669628996,-4.39736405710855,-8.42479258578916
0,0.3,0,0,0.7,92,-1.08392129859972,0.520097637210026,0.45549858308176,-0.290144212128505,-0.274709222676105,-7.08545692885076,-7.00663853004636,-7.9337345561385,-5.30887785122519,-6.74241382743085
0,0.1,0.9,0,0,97,1.76239040334821,0.887238835195438,1.0778781625861,0.459731028885886,-1.02743234426769,-62.734425719476,-13.5622609977673,-15.7988630249359,-12.8931024417367,-10.4315788299445
0,0.1,0,0.9,0,98,0.167661064855685,-1.22869399404315,-1.2344727084222,0.43210325950799,1.2909986710856,-6.68520678405209,-7.29714772572866,-7.93907342098014,-6.16961502803503,-10.6772265884722
0,0.1,0,0,0.9,99,-1.23761893883382,1.41588021988208,1.4034527566805,-0.0700019815014373,0.0571077983818474,-5.90648073943148,-5.40285370675774,-5.84337833482887,-4.42541963781767,-5.04212271418338
0,0,0.9,0.1,0,101,1.44958602909137,-0.25010672377167,0.0660118096047648,1.63045700410879,-1.11256030146925,-4.813115021438,-4.70396421851191,-5.1391463121622,-3.67050392468785,-3.97736249481208
0,0,0.9,0,0.1,102,1.28282125406462,0.331820619352911,0.372431420626528,-0.326164976114394,-1.58495665133603,-5.73774045066675,-5.69706072934412,-6.51715179581552,-3.73052979499491,-5.40908368797341
0,0,0.7,0.3,0,105,1.55310554980422,-1.30369199834832,-1.05920753956671,1.96404535530534,-0.659766771052486,-7.81613627566843,-8.12082040038831,-8.71641595102476,-6.97381194141592,-6.51998979101452
0,0,0.7,0,0.3,106,0.770704126363211,0.118941159874402,-0.0820161292800679,-2.21201858669344,-2.66936527928156,-6.04608245496557,-6.53471224248579,-8.89894166859204,-3.15764767163029,-4.33908348149765
0,0,0.5,0.5,0,109,1.3099077186837,-1.96083937424731,-1.78872170659182,2.04581843418265,0.708725144636696,-4.39708303625598,-5.37658287710395,-5.64296628473095,-4.7137405412641,-4.3465096573412
0,0,0.5,0,0.5,110,-0.107356976813424,0.104285225354068,0.11361841838734,-0.970885844870836,-1.69252694099012,-62.7391355051327,-13.5037836940536,-11.8350387074387,-9.90265214684697,-9.05157879998726
0,0,0.3,0.7,0,114,0.710211331264627,-1.9986352936185,-1.93808945893356,1.40664980229906,1.41491851348791,-5.48582433886596,-6.54867917737163,-7.15874091174349,-5.99602172448675,-9.0720275737225
0,0,0.3,0,0.7,115,-0.808866415037323,0.539560511096879,0.56818273176861,-0.127339422872252,-0.472841702274122,-61.6818590340009,-13.0462101891931,-12.1948420282711,-8.54042699712179,-6.83190825274058
0,0,0.1,0.9,0,118,0.166578476640415,-1.32681112509393,-1.37509777972449,0.551114318381251,1.48304997329959,-4.24935877768684,-5.03445282823871,-5.61119121327666,-4.25690650024534,-6.47800754519833
