"Mo","Nb","Ta","V","W","alloy_cnt","m_log_max_strain","m_bc_1","m_bc_2","m_bc_3","m_bc_4","m_bc_5","m_bc_6","var_log_max_strain","var_bc_1","var_bc_2","var_bc_3","var_bc_4","var_bc_5","var_bc_6"
0.9,0.1,0,0,0,3,-1.29581217680169,0.875750896369566,0.875442933176049,0.399777045293495,0.235680259940509,-0.383563937354849,0.53528995439139,-7.79010521278167,-7.53519626404839,-7.73628551726142,-6.80900600186434,-6.44825074902913,-3.57789872485869,-2.54781370770749
0.9,0,0.1,0,0,4,-1.26080662956794,0.701501130938367,0.826006425886066,0.491097661401364,0.0791450404725611,0.163368673242843,-0.570039600525721,-6.24425991340072,-5.95379254881964,-6.28425991454712,-5.01503079816206,-5.24103926071905,-3.75091034612406,-3.35203390644816
0.9,0,0,0.1,0,5,-1.20854871646768,0.841340048571931,0.882510758308166,0.545995403549666,0.296817754610053,-0.381475776682741,0.301404120060114,-7.83330397387739,-7.46052109003582,-7.87703825621052,-6.96751043555256,-8.10776221659055,-5.86727407066169,-5.50186583238658
0.9,0,0,0,0.1,6,-1.31958807764939,1.31665211339729,1.37626322660848,0.299870724134688,0.179118132311268,-0.238451866793389,0.366134824111795,-5.93550112228093,-5.40570076176382,-5.81159744638816,-4.6492090657261,-6.23506044490201,-10.0114660787015,-7.84818300961242
0.7,0.3,0,0,0,13,-1.04517084767978,0.0958612317079552,0.203174194706628,0.15809811842328,-0.632586901982026,-0.00771627787554113,-1.84656055236975,-6.07202501807792,-6.08779374942042,-6.74781906760781,-4.25719179215536,-5.09857971570905,-4.7417942971112,-3.19007068059884
0.7,0,0.3,0,0,14,-0.887880063217058,0.0639348867948558,0.0240097780770522,0.0777692468741958,-0.505489264498956,-0.713739370706029,-0.786375341988017,-7.18244800611988,-7.27669730603291,-7.70279870338877,-5.62794300214545,-5.55178592495877,-5.00831539779617,-3.15121739536544
0.7,0,0,0.3,0,15,-0.571138090089337,0.42025164345796,0.485043879110018,0.239456626981008,0.0326667110909963,-0.777922485181987,0.110316385829423,-6.75528736664525,-6.6569821807886,-7.21913601160451,-5.20731208436036,-6.27051143518494,-7.17813678301931,-5.71142633615911
0.7,0,0,0,0.3,16,-1.39102208254757,1.23837384494984,1.3590793774948,0.292109855419678,0.0353132372881835,-0.205617558565107,-0.47736055224792,-7.7370040552964,-7.24704576697613,-7.79008651190849,-5.86965930423354,-6.78369155605589,-6.37578015965976,-5.89292476142408
0.5,0.5,0,0,0,31,-0.706105445153912,-0.463108225500736,-0.34879329604112,-0.228505357298456,-0.714843170056767,0.683472586296681,-2.68202579226194,-6.25326302399675,-6.54705876636615,-7.53506256440174,-4.35576530342579,-5.81479215471713,-5.1944861245606,-3.60489747508139
0.5,0,0.5,0,0,32,-0.265631408403875,-0.398229429588845,-0.468892052789889,-0.48851044159797,-1.67774218459813,-0.682421378088184,-2.44051671264286,-3.73866558531902,-4.23623030177613,-5.77181552282274,-1.16357725788984,-1.11915185629856,-0.642832413848986,-2.11047123569043
0.5,0,0,0.5,0,33,-0.0813429715757112,0.00842423709197154,0.0846851185208252,0.393828101292844,0.307026403309784,-0.680564379195773,-0.174353290410384,-6.11647834661,-6.15555790122183,-6.6967316040985,-4.84464932139766,-5.26822681835812,-4.10098284260325,-5.58753264907242
0.5,0,0,0,0.5,34,-1.37896144436726,1.30331287000205,1.43303164651094,0.120900125998637,-0.039960290028353,-0.346320366355871,-0.329685868843764,-61.6791273751158,-12.2782238990356,-13.1218841865763,-7.88189058741467,-7.64265589626504,-3.63544744156253,-3.55727183248339
0.3,0.7,0,0,0,49,-0.209838016801693,-0.591177761855252,-0.755520445361604,-0.914664210980243,-0.769216663677901,0.243083028455556,-0.835141261146076,-5.20263627271451,-5.78317023032365,-7.21260438982873,-3.10166277452293,-4.07644426518921,-4.63520650741022,-3.83832679624853
0.3,0,0.7,0,0,50,1.28297130130128,-0.00421262408074982,-0.432193292979537,-4.18197079933519,-2.49754966506371,4.57989740173259,3.74286165987151,-6.56549661180339,-7.41370115011412,-12.7432867037567,-3.85200816016747,-5.01830680389914,-1.97461200983192,-3.92865921908678
0.3,0,0,0.7,0,51,0.208000431365331,-0.364304942900282,-0.327196981079454,0.561148014977367,1.09849869678808,-0.325402733171087,0.0686010830634235,-5.16494249049487,-5.32898694684155,-5.80457261368123,-4.6096644777653,-6.4682173082154,-4.30625295270283,-4.55906773953947
0.3,0,0,0,0.7,52,-1.3610713803384,1.48728012394182,1.55329352944582,0.0185908663439596,0.0357578371720119,-0.251062420863201,-0.227790091388966,-6.93946535429646,-6.38686869498545,-6.91773008808507,-5.08692772612893,-5.54146609162596,-4.33133990722926,-4.17145545311824
0.1,0.9,0,0,0,64,0.244656308556807,-0.650662604017952,-0.793073128612348,-0.540953644461321,0.491634000224243,0.149096693504894,0.331022755945096,-6.64133232820865,-7.23033406230425,-8.46792636797203,-4.9981050649636,-6.50719630371889,-3.78834103283808,-3.06970009352955
0.1,0,0.9,0,0,65,1.43231703094877,0.2998701582876,0.23783792020378,-0.604210626571128,-1.10912213957583,2.66499130623152,1.45360659479652,-7.75041210528645,-7.74828243290945,-8.59172842838372,-5.93320590302068,-8.89147015132714,-5.84356421028334,-5.15225652298562
0.1,0,0,0.9,0,66,0.58697875877151,-0.378095396590552,-0.468758550285055,-0.0916598725040539,1.47745459095046,0.472405210384084,0.311044604261155,-6.6683594173397,-6.95686047677217,-7.4843500916569,-6.44252760387343,-6.89529821490167,-6.08967222345719,-5.78382660462724
0.1,0,0,0,0.9,67,-1.16864805218806,1.98378324726376,1.9579545479358,-0.326224372082991,0.0394322240342046,-0.174046025560266,0.138454316515772,-5.94067382184679,-5.2203123662583,-5.67496336591765,-4.43675778744964,-5.7830560354928,-5.33516122158153,-5.33667654929491
0,0.9,0.1,0,0,69,1.34465994694093,0.142496736329063,-0.158906020886439,-1.23654660537802,1.48583150800871,1.08634418789128,0.337743304121435,-8.28755686262511,-8.51239017713726,-9.43238432352279,-7.14011440314784,-7.33292915734275,-6.90389818893165,-6.71954134865632
0,0.9,0,0.1,0,70,0.546283543147713,-0.909097163513999,-0.992849207561765,0.0438850317481691,0.760804603049954,0.337797916632831,0.426622217048018,-7.89225630715376,-8.56556138362093,-9.20386155859341,-7.00019589321806,-9.38534791713126,-5.70530276753754,-4.42964581955137
0,0.9,0,0,0.1,71,0.183948714228367,-0.606532555557076,-0.735859946305369,-0.341376419870007,0.640310008920624,0.0351085667083371,0.309044744049167,-6.31750940882021,-6.82189743432402,-7.66691463565141,-5.0416906628388,-7.52090412506025,-6.58731043156544,-5.16039996395799
0,0.7,0.3,0,0,75,1.36573924190966,0.181731228862477,0.058151411190442,-0.65852454839787,1.0373865473756,1.03081627515106,0.164412756531928,-5.68889468740899,-5.74714645913197,-6.42445426146241,-4.70092043898191,-6.9280069572424,-6.34857458118082,-6.95596098650528
0,0.7,0,0.3,0,76,0.355280357428843,-1.67488766792439,-1.58102938846755,1.02156877560518,0.701785392913035,-0.123962724245872,0.424650835866533,-5.48258520049154,-6.31626993483422,-7.06955747318034,-5.08765460469755,-7.4476181474087,-8.54975958411192,-8.47112070890244
0,0.7,0,0,0.3,77,-0.147537820967986,-0.338316335045105,-0.570121184320003,-1.31989847818917,-0.436443160589602,-0.302057594582243,0.74599537082608,-4.98943047070113,-5.56457930684462,-6.94770312351875,-2.91816980164635,-4.67417642988332,-5.89851946499018,-4.23316684301712
0,0.5,0.5,0,0,81,1.52098182125272,0.392313168763985,0.392774840886114,-0.284343682570296,0.49134534077933,1.090749536352,0.112866592622421,-6.67302971613029,-6.5669523401137,-7.11622608241052,-5.59821339168461,-9.17287576299628,-6.90379710932299,-7.19380321374956
0,0.5,0,0.5,0,82,0.296139427635318,-2.00815311473581,-1.88158911679288,1.31934233224448,1.0199265342999,-0.272902484428313,0.268971656964655,-5.15613168807052,-6.20088062045363,-6.74300046814276,-5.33222366760421,-7.68541720068915,-6.47675461497538,-6.51351014308983
0,0.5,0,0,0.5,83,-0.706105445153898,-0.462337518504515,-0.348792888087246,-0.238275018640455,-0.754180616199916,0.626945284300714,-2.6411004948861,-6.25326302399729,-6.65635126722572,-7.60217406877637,-4.30407725038911,-4.53990709129442,-3.50037960378166,-4.16404933706352
0,0.3,0.7,0,0,90,1.63639884876581,0.613450858818037,0.721759294682642,0.129367516501642,-0.201093598509774,1.01717546995882,0.053307718847485,-7.58533510116627,-7.31586938955104,-7.88586579249692,-6.06204186905331,-7.24382149800704,-5.57979999520409,-4.296977321814
0,0.3,0,0.7,0,91,-0.0352626487396582,-2.01612033104071,-1.93059218287854,1.24340994711385,1.25227713248558,-0.0847248178077077,0.151920017345798,-3.88174954328047,-5.04796876900457,-5.54415955193962,-4.39632545547854,-8.40508811272665,-5.89896648486622,-7.59226260632725
0,0.3,0,0,0.7,92,-1.08392129859972,0.520094846124561,0.455228274147086,-0.290362204322735,-0.28407986408498,-0.956888385698758,0.00339565357509461,-7.08545692885076,-7.00671575361384,-7.9343443684238,-5.30691985344246,-6.72637902690835,-6.79712634580436,-6.4606018391955
0,0.1,0.9,0,0,97,1.76239040334821,0.88727214149789,1.0780638597695,0.460767505306706,-1.02322751996128,0.910152358660107,0.299442155337301,-62.734425719476,-13.5618085088809,-15.8048518140646,-12.8828849291393,-10.4065580294542,-8.21942047008515,-10.0911693135276
0,0.1,0,0.9,0,98,0.167661064855685,-1.22868269426886,-1.23441064559686,0.432690203092863,1.2951663787852,0.282623282505705,0.108175311321905,-6.68520678405209,-7.29659743942628,-7.93778033525192,-6.17810314354697,-10.5968013828486,-5.81626780956765,-4.10968629997181
