alloy_rep_id,alloy_cnt.x,log_max_stress,log_max_strain,bc_1,bc_2,bc_3,bc_4,bc_5,bc_6,toughness,young_mod,frac_stress,gcv,alloy,Mo,Nb,Ta,V,W,rep,Experiment,alloy_cnt.y
0.155247433960763_0.472074473566897_0.353462382084521_0.00757081036969871_0.0116449000181209_1,63,2.24278715507854,-2.75514180863606,5.75574782228382,2.68376246070178,-0.449308965849988,-0.0768963021120937,-0.00574250489307873,0.000570685494134264,0.364167366546495,198.3628008333,9.17886416989486,3.66591269061186,MoNbTaVW,0.155247433960763,0.472074473566897,0.353462382084521,0.00757081036969871,0.0116449000181209,1,7,63
0.155247433960763_0.472074473566897_0.353462382084521_0.00757081036969871_0.0116449000181209_2,63,2.23934772011642,-2.77419000360676,5.68704219461873,2.67518468732793,-0.423982055462063,-0.0735224649435323,-0.00815366484513749,-0.000797851368824017,0.352981017778898,198.680977793346,9.14860312590005,3.66602138613483,MoNbTaVW,0.155247433960763,0.472074473566897,0.353462382084521,0.00757081036969871,0.0116449000181209,2,7,63
0.155247433960763_0.472074473566897_0.353462382084521_0.00757081036969871_0.0116449000181209_3,63,2.24406234986575,-2.73644967562391,5.81930248977326,2.69343387599272,-0.476493154159358,-0.0828149462512858,-0.00587434345955792,0.00188532922919502,0.375191475457037,198.094966760629,9.18794946067638,3.84672906361128,MoNbTaVW,0.155247433960763,0.472074473566897,0.353462382084521,0.00757081036969871,0.0116449000181209,3,7,63
0.1_0.9_0_0_0_1,64,2.2188305937114,-2.69414729593322,5.34222459432754,2.6800789071141,-0.343817520477612,-0.0238290334015466,0.00136760699190797,-0.0023816069983533,0.359304687692272,181.488490137507,9.13742452183451,0.820467120740516,MoNb,0.1,0.9,0,0,0,1,100,64
0.1_0.9_0_0_0_2,64,2.21181808956279,-2.71205822249974,5.27460290691295,2.65967331956937,-0.327942881766534,-0.0212893435089142,0.00460176915333333,0.000623858087510111,0.34841279623808,180.989924005078,9.0940162612585,0.809670715467376,MoNb,0.1,0.9,0,0,0,2,100,64
0.1_0.9_0_0_0_3,64,2.21588866658364,-2.70306265959118,5.30805472926166,2.66895870208985,-0.336438807448637,-0.0222512612871446,0.00296303563939174,-0.00177454475728262,0.353815248668491,181.460533316854,9.11057988848672,0.818312952540922,MoNb,0.1,0.9,0,0,0,3,100,64
0.1_0_0.9_0_0_1,65,2.45642278682326,-2.41463459680266,6.4723645472014,3.38512036097246,-0.336436983476208,-0.0751505279823074,0.0293528756304543,0.00684348889833461,0.576319665315476,152.452622598683,11.4789449712253,4.05174687169566,MoTa,0.1,0,0.9,0,0,1,100,65
0.1_0_0.9_0_0_2,65,2.46094655015809,-2.40572585191355,6.51780933452096,3.40129139431938,-0.344934498535953,-0.0759052870860224,0.0303576870083045,0.00774518973545579,0.585584937216893,152.373782714815,11.5374025994394,4.04360512253897,MoTa,0.1,0,0.9,0,0,2,100,65
0.1_0_0.9_0_0_3,65,2.46060960577414,-2.40572585191356,6.51731895508435,3.402180457613,-0.345175633972268,-0.0756931283438023,0.0303527458133039,0.00671609954294538,0.585541128272597,152.442580154366,11.535255976795,4.03897945951564,MoTa,0.1,0,0.9,0,0,3,100,65
0.1_0_0_0.9_0_1,66,2.3120390832228,-2.61183134336167,5.67957929613009,2.91087695642758,-0.295259038401809,0.0109333888211524,0.00670777382836332,-0.00172271887791411,0.414864279653363,178.038872144111,10.0862077714077,0.801106481652444,MoV,0.1,0,0,0.9,0,1,100,66
0.1_0_0_0.9_0_2,66,2.30554949857758,-2.62831523308336,5.606668005307,2.87923916359665,-0.28819787271321,0.0090439736404128,0.0058636527278417,-0.00134620690934707,0.402808345202384,178.020771443503,9.96794455443082,0.809262845672599,MoV,0.1,0,0,0.9,0,2,100,66
0.1_0_0_0.9_0_3,66,2.31148245830386,-2.61455985801487,5.66595582423513,2.9043642359742,-0.294423087158825,0.0108062388690824,0.00678682331478499,-0.000905382785701736,0.412735495815432,177.964758177408,10.0655459930308,0.80932768058266,MoV,0.1,0,0,0.9,0,3,100,66
0.1_0_0_0_0.9_1,67,2.75863779430659,-3.06615473785055,8.52662270874268,4.567639341208,-0.304292982827741,-0.0353378368748743,0.00024655923298669,-0.00230869020544129,0.394209410844271,386.617571942346,15.6123692981517,1.71780302420764,MoW,0.1,0,0,0,0.9,1,100,67
0.1_0_0_0_0.9_2,67,2.77050858795434,-3.04072963948473,8.71133830737377,4.65020120996745,-0.325246716028207,-0.038538674417705,-0.000488843926139609,-0.00229586747824327,0.413216408806022,386.411857586402,15.8842999663514,1.731979057365,MoW,0.1,0,0,0,0.9,2,100,67
0.1_0_0_0_0.9_3,67,2.76611400395993,-3.05336138639061,8.61629348099145,4.60797142731678,-0.31637654322969,-0.0385166024451197,-0.00124579507090218,-0.00318829630931871,0.403534329708427,386.698628913164,15.7308918423337,1.72338022840709,MoW,0.1,0,0,0,0.9,3,100,67
0.259711352455833_0.452956645498186_0.191609821074781_0.0593225998699225_0.036399581101278_1,53,2.3489747307456,-3.03239625792558,6.02421612865537,2.7633999347133,-0.248909023211554,-0.0386999861779892,-0.00921667095557052,-0.026049038807242,0.288187473328914,242.537571013052,10.02937394529,6.60676799246669,MoNbTaVW,0.259711352455833,0.452956645498186,0.191609821074781,0.0593225998699225,0.036399581101278,1,19,53
0.259711352455833_0.452956645498186_0.191609821074781_0.0593225998699225_0.036399581101278_2,53,2.33422395230607,-3.05336138639063,5.8878745484184,2.73826095424497,-0.223063740892131,-0.0351902667850608,0.00155029541729376,-0.025396435902194,0.275747325108426,242.705512302106,9.94633637476536,6.43112033749547,MoNbTaVW,0.259711352455833,0.452956645498186,0.191609821074781,0.0593225998699225,0.036399581101278,2,19,53
0.259711352455833_0.452956645498186_0.191609821074781_0.0593225998699225_0.036399581101278_3,53,2.33288918850912,-3.04492251774475,5.89090039239942,2.76111969811406,-0.232666739427398,-0.0451893337037109,0.00140207186911173,-0.0360301840249224,0.278253951316636,246.543225391636,9.91130466728048,6.65834170300364,MoNbTaVW,0.259711352455833,0.452956645498186,0.191609821074781,0.0593225998699225,0.036399581101278,3,19,53
0.25_0.25_0.25_0.25_0_1,54,2.12896132818158,-2.66212126921381,4.84575258261705,2.49366578941654,-0.292552793820103,-0.0591523980146839,-0.00790143806222909,-0.00528393325917906,0.336568770883091,154.811021309809,8.30763155166104,2.32360683732527,Mo_Nb_Ta_V,0.25,0.25,0.25,0.25,0,1,0,54
0.25_0.25_0.25_0_0.25_1,55,2.32783419169291,-2.85771097565662,6.01471890342888,3.01116269424387,-0.392758103033737,-0.0769350355766483,-0.015693054843925,-0.00805899204008742,0.343219166759544,231.541977707065,10.0709574494758,3.1377258182376,Mo_Nb_Ta_W,0.25,0.25,0.25,0,0.25,1,0,55
0.25_0.25_0_0.25_0.25_1,56,2.34571892068751,-2.86120138059639,5.86563435533936,3.00302446747298,-0.290273917230876,-0.0461490920165208,-0.00555442006953434,-0.00764563432998128,0.333449827627273,220.904435192382,10.2398498289957,3.19232202558961,Mo_Nb_V_W,0.25,0.25,0,0.25,0.25,1,0,56
0.25_0_0.25_0.25_0.25_1,57,2.31648950112049,-2.80346038590687,5.71710180141295,2.93897243056026,-0.292096285349699,-0.0579143532648403,-0.00497502492846392,-0.0119590723170628,0.344452428769932,204.588664780136,9.9367052194199,3.54637133423802,Mo_Ta_V_W,0.25,0,0.25,0.25,0.25,1,0,57
