alloy_rep_id,log_max_stress,log_max_strain,bc_1,bc_2,bc_3,bc_4,bc_5,bc_6,toughness,young_mod,frac_stress,gcv,alloy,Mo,Nb,Ta,V,W,rep,Experiment,alloy_cnt
0.24_0.64_0.08_0_0.04_1,2.77240808193246,-2.33098456751574,8.89970702498285,4.59924514090093,-0.462530821745442,0.00862921265909304,0.0367810186360672,-0.00525211778488065,0.861863758893574,209.400346898166,15.9232973474315,1.22855746253668,MoNbTaW,0.24,0.64,0.08,0,0.04,1,3,6
0.24_0.64_0.08_0_0.04_2,2.78276214845412,-2.31871447492392,8.98140042580367,4.63565807170155,-0.469707457104022,0.0114362354877694,0.0371208558290414,-0.0054598933502487,0.880555050645098,209.31980642047,16.0598216307945,1.29389968526969,MoNbTaW,0.24,0.64,0.08,0,0.04,2,3,6
0.24_0.64_0.08_0_0.04_3,2.76573076125534,-2.33717653776366,8.85364400844518,4.58043037351161,-0.457551598108561,0.0071182442521296,0.0358850733851345,-0.00458515030350131,0.852088976811329,209.411724598004,15.851227953522,1.23157482955672,MoNbTaW,0.24,0.64,0.08,0,0.04,3,3,6
0.36_0.56_0.04_0.04_0_1,2.8017546766133,-2.37730863918998,9.06216039733889,4.75981709434943,-0.40612690293699,-0.00749790515685973,0.029320290402696,-0.00276514016546379,0.837676745821002,217.418327670627,16.4307521677256,0.51825462842212,MoNbTaV,0.36,0.56,0.04,0.04,0,1,6,5
0.36_0.56_0.04_0.04_0_2,2.81723624375055,-2.3538783873816,9.23901603614014,4.838065557546,-0.423854133694227,-0.00299042687601968,0.0321585687186941,-0.00262534087552189,0.874356288611036,217.532145314766,16.7242614934781,0.608409034766038,MoNbTaV,0.36,0.56,0.04,0.04,0,2,6,5
0.36_0.56_0.04_0.04_0_3,2.80908041486479,-2.36659042296996,9.13977363461475,4.79385825121523,-0.414755694671572,-0.00684807083565618,0.0297013697115664,-0.00347438629878219,0.853995319387623,217.343014279395,16.548875447512,0.524066351684651,MoNbTaV,0.36,0.56,0.04,0.04,0,3,6,5
0.68_0.24_0_0.04_0.04_1,3.15355721828236,-2.32074906362171,12.9421474314591,6.74273936810575,-0.604072745643509,-0.00326250592772204,0.0425749173867899,-0.00660315395805756,1.26624141262695,295.078590273829,23.3326346814348,1.62336747372198,MoNbVW,0.68,0.24,0,0.04,0.04,1,5,4
0.68_0.24_0_0.04_0.04_2,3.1542993536972,-2.32074906362171,12.9466342270326,6.74456938486541,-0.603509525711529,-0.00346056856371992,0.0427205774751043,-0.00557172666589835,1.26667957937638,295.095727799477,23.3446451556078,1.67236325037212,MoNbVW,0.68,0.24,0,0.04,0.04,2,5,4
0.68_0.24_0_0.04_0.04_3,3.15958148729783,-2.31465767422831,13.0098647172182,6.77653766844905,-0.608029404186159,-0.00478837681330852,0.0401892736148344,-0.00599342105964882,1.28067595703531,295.09350632846,23.4412180005602,1.61041217804041,MoNbVW,0.68,0.24,0,0.04,0.04,3,5,4
0.72_0.08_0.16_0_0.04_1,3.17286000953282,-2.36233509739981,12.7009801074618,6.91802382477821,-0.461798408963812,-0.0696378683519374,0.0763710250588758,-0.040662377284268,1.19170006734083,278.869574338292,23.5264848779585,8.00109418659182,MoNbTaW,0.72,0.08,0.16,0,0.04,1,4,3
0.72_0.08_0.16_0_0.04_2,3.1985679325606,-2.32892906833365,13.0556228764058,7.09131661354229,-0.495673338354985,-0.0627437349693739,0.0794863816495908,-0.0408956675083835,1.26676715567799,278.827389270659,24.1323918896758,8.36332500572241,MoNbTaW,0.72,0.08,0.16,0,0.04,2,4,3
0.72_0.08_0.16_0_0.04_3,3.18573774177985,-2.34549259400532,12.8682299098001,6.9978928722207,-0.481272796731132,-0.0703469906121707,0.0773844737251489,-0.0410915761607964,1.22799257263004,278.213554542789,23.7888157235109,8.20794373321595,MoNbTaW,0.72,0.08,0.16,0,0.04,3,4,3
0.76_0.16_0.04_0_0.04_1,3.14207701743511,-2.3990959933749,12.0629204957063,6.86262929950604,-0.445703624724897,-0.157367921981557,0.148298906514959,-0.0938807342618366,1.09074690949522,257.879419781988,22.6424704809218,7.81620582084574,MoNbTaW,0.76,0.16,0.04,0,0.04,1,1,2
0.76_0.16_0.04_0_0.04_2,3.15361232946303,-2.37730863918998,12.1826975712276,6.97890206018082,-0.436852504599413,-0.183915659371628,0.167435375293113,-0.113822178913508,1.1259222506888,244.45818821174,22.9075021461405,8.5086634770161,MoNbTaW,0.76,0.16,0.04,0,0.04,2,1,2
