alloy_rep_id,log_max_stress,log_max_strain,bc_1,bc_2,bc_3,bc_4,bc_5,bc_6,toughness,young_mod,frac_stress,gcv,alloy,Mo,Nb,Ta,V,W,rep,Experiment,alloy_cnt
0.24_0.64_0.08_0_0.04_1,2.21027911816773,-2.79688141480884,5.37051114077348,2.69060517370692,-0.372382603079802,-0.0542556178020945,-0.00354884895967711,0.000166790820081945,0.325791525260326,199.017454808452,9.03646684973042,1.10249696843098,MoNbTaW,0.24,0.64,0.08,0,0.04,1,3,6
0.24_0.64_0.08_0_0.04_2,2.22051290140951,-2.74887219562248,5.54558394363575,2.73152339592695,-0.427599783875652,-0.0621221693055686,-0.00289634220967168,0.000729266236109674,0.35308613815185,198.983712340765,9.14468003334911,1.15189307141806,MoNbTaW,0.24,0.64,0.08,0,0.04,2,3,6
0.24_0.64_0.08_0_0.04_3,2.21397174138404,-2.77740027923701,5.44044133245356,2.70700318741715,-0.393369068631636,-0.0556772260653724,-0.00149516952307327,0.00158255716365331,0.336574089016984,198.81945781352,9.09515418070935,1.10796645759181,MoNbTaW,0.24,0.64,0.08,0,0.04,3,3,6
0.36_0.56_0.04_0.04_0_1,2.21309318552178,-2.84043938914796,5.36557946957173,2.73529060155278,-0.35057372639732,-0.0578160222700594,-0.00840793611699597,-0.00299239577052402,0.311525581538099,206.832008900055,9.12375178799018,0.537031208122512,MoNbTaV,0.36,0.56,0.04,0.04,0,1,6,5
0.36_0.56_0.04_0.04_0_2,2.21036060892656,-2.8507665033038,5.32879757063805,2.7226278015198,-0.342059731360817,-0.0566069332445731,-0.0075071122937875,-0.00207586623717318,0.306186429697741,206.752888136415,9.09207127852651,0.614051071350305,MoNbTaV,0.36,0.56,0.04,0.04,0,2,6,5
0.36_0.56_0.04_0.04_0_3,2.20679189350068,-2.86120138059638,5.2862517256313,2.71004050320739,-0.330149996974682,-0.0532937790590828,-0.00744551369630969,-0.00280564939239956,0.300561868815719,206.900854374987,9.06026104369057,0.537516042478617,MoNbTaV,0.36,0.56,0.04,0.04,0,3,6,5
0.68_0.24_0_0.04_0.04_1,2.45326329497129,-3.01186165548388,6.41149558242482,3.43752214693449,-0.277173375847202,-0.0499675373161398,-0.00789699025345444,-0.00820861781993631,0.313137338080772,282.739127927577,11.540712667868,1.11451764759543,MoNbVW,0.68,0.24,0,0.04,0.04,1,5,4
0.68_0.24_0_0.04_0.04_2,2.44215621997004,-3.0323962579256,6.30335749231905,3.39449258769527,-0.257489744079423,-0.0442048053907315,-0.00471903102999547,-0.00520918283112147,0.301535314416025,281.982998295054,11.4331257362295,1.14351526467508,MoNbVW,0.68,0.24,0,0.04,0.04,2,5,4
0.68_0.24_0_0.04_0.04_3,2.45051562774411,-3.01186165548388,6.41248917077918,3.43702875419592,-0.277232022716181,-0.0500796452739351,-0.00750537114655296,-0.0069487024670178,0.313185368222766,282.315884696418,11.5452128760812,1.09348518419173,MoNbVW,0.68,0.24,0,0.04,0.04,3,5,4
0.72_0.08_0.16_0_0.04_1,2.44946449703728,-3.07045581974994,6.44195601689852,3.27057640469052,-0.234215797383559,-0.0584208730219449,0.0146993049896107,-0.0215676424679443,0.296576083788022,286.197232453876,11.3788433019565,5.91149803559261,MoNbTaW,0.72,0.08,0.16,0,0.04,1,4,3
0.72_0.08_0.16_0_0.04_2,2.4673451800368,-3.05760767727208,6.52280385985167,3.29343956400117,-0.249948177296047,-0.062789435432148,0.00840255635587905,-0.0226812168505559,0.304230211722057,285.893284548982,11.4334345793357,6.73628283702607,MoNbTaW,0.72,0.08,0.16,0,0.04,2,4,3
0.72_0.08_0.16_0_0.04_3,2.44332592267195,-3.09224317393484,6.34690585448284,3.22373232850583,-0.220482486085311,-0.0520133104296398,0.0138152052689194,-0.0176008977572234,0.285844356675558,285.738579312215,11.2578893405198,6.25801667346464,MoNbTaW,0.72,0.08,0.16,0,0.04,3,4,3
0.76_0.16_0.04_0_0.04_1,2.46380390947284,-3.22388836669173,6.63221294706202,3.03311727409593,-0.199211314515278,-0.0196991323977222,-0.0218575745479994,0.0171780674499324,0.261603032230171,284.954544917724,11.3413766773022,6.75350978036425,MoNbTaW,0.76,0.16,0.04,0,0.04,1,1,2
0.76_0.16_0.04_0_0.04_2,2.46825002113661,-3.22388836669175,6.76308136494659,3.01040575941634,-0.200812821008404,-0.0170692063440684,-0.0204140703407119,0.00890122490611855,0.266777738096631,286.760786019002,11.4168217069616,7.09431836012239,MoNbTaW,0.76,0.16,0.04,0,0.04,2,1,2
0.76_0.16_0.04_0_0.04_3,2.45924251631373,-3.23907853218571,6.52753779731871,3.01178513912938,-0.193471180240388,-0.0155577247983232,-0.0219250160753475,0.00608746773523878,0.253553911691387,290.310728656184,11.1907519167336,6.84542737082072,MoNbTaW,0.76,0.16,0.04,0,0.04,3,1,2
0.88_0.04_0.04_0.04_0_1,2.55868612014168,-3.07911388249303,6.93733381256676,3.75270854083976,-0.231885640425823,-0.0307026258937934,-0.00415983747174346,-0.00308427597746808,0.316557773823845,318.187920003035,12.7782605312967,1.50004529076972,MoNbTaV,0.88,0.04,0.04,0.04,0,1,2,1
0.88_0.04_0.04_0.04_0_2,2.57488379040595,-3.05760767727207,7.06186323554637,3.81047958817794,-0.245559626544103,-0.0317973071603712,-0.00345956702391395,-0.00298117127718177,0.329309350285369,318.23925751092,12.9724573021428,1.47856652032956,MoNbTaV,0.88,0.04,0.04,0.04,0,2,2,1
